Species name,Genbank Accession number
Acaulospora alpina,FR681930
Acaulospora aspera,MN081004
Acaulospora baetica,LN810997
Acaulospora brasiliensis,FN825908
Acaulospora cavernata,FM876790
Acaulospora colliculosa,GU326352
Acaulospora colombiana,MT832197
Acaulospora delicata,MT832209
Acaulospora dilatata,OK356196
Acaulospora elegans,MT832202
Acaulospora entreriana,FR750170
Acaulospora excavata,OK356203
Acaulospora fanjing,MW723430
Acaulospora flava,MZ191518
Acaulospora flavopapillosa,OK360962
Acaulospora foveata,MT832201
Acaulospora fragilissima,KY362431
Acaulospora herrerae,JX135569
Acaulospora ignota,KP191468
Acaulospora kentinensis,MT832204
Acaulospora koreana,KY565427
Acaulospora koskei,MT832199
Acaulospora lacunosa,MT832200
Acaulospora laevis,FN547517
Acaulospora longula,AM040292
Acaulospora mellea,JF439089
Acaulospora minuta,FR869691
Acaulospora morrowiae,MT832211
Acaulospora nivalis,HE603642
Acaulospora papillosa,LN884302
Acaulospora paulinae,AY639265
Acaulospora punctata,FR846381
Acaulospora pustulata,HF567941
Acaulospora rugosa,LN881565
Acaulospora saccata,KY362428
Acaulospora scrobiculata,MT832208
Acaulospora sieverdingii,FM876793
Acaulospora spinosa,FR750155
Acaulospora spinosissima,HG422733
Acaulospora spinulifera,KY413814
Acaulospora tortuosa,HF567933
Acaulospora tuberculata,MT832207
Acaulospora viridis,HG421736
Amanita brunnescens*,AY631902
Ambispora appendicula,FN547529
Ambispora fennica,FN547539
Ambispora gerdemannii,JF439210
Ambispora leptoticha,FN547531
Arabidopsis thaliana*,X52322
Archaeospora ecuadoriana,LR596344
Archaeospora schenckii,FR750020
Archaeospora spainiae,HG977200
Archaeospora trappei,MT832160
Ascobolus crenulatus*,AY544678
Boletellus projectellus*,AY684158
Bulbospora minima,KJ944323.1
Cetraspora armeniaca,MG459217
Cetraspora gilmorei,FN547610
Cetraspora helvetica,HM565944
Cetraspora nodosa,FM876833
Cetraspora pellucida,MT832222
Complexispora mediterranea,OQ437305
Complexispora multistratosa,OQ437298
Corymbiglomus corymbiforme,KF060294
Corymbiglomus globiferum,MT832214
Corymbiglomus pacificum,HG532010
Dentiscutata aurea,MT967279
Dentiscutata cerradensis,MT967276
Dentiscutata colliculosa,MT967277
Dentiscutata erythropus ,MT832226
Dentiscutata heterogama,FR750167
Dentiscutata nigra,MT832225
Dentiscutata savannicola,HE962444
Desertispora omanana,KF154769
Diversispora arenaria,FN547665
Diversispora aurantia,EF581860
Diversispora celata,AY639235
Diversispora clara,FR873629
Diversispora eburnea,EF067888
Diversispora epigaea,MT832217
Diversispora gibbosa,KJ850204
Diversispora insculpta,MT832216
Diversispora jakucsiae,KJ850181
Diversispora peloponnesiaca,MN306205
Diversispora peridiata,KT444715
Diversispora sabulosa,MG459211
Diversispora slowinskiensis,KT444717
Diversispora sporocarpia,MK036785
Diversispora spurca,MT832218
Diversispora trimurales,MT832219
Diversispora valentina,MT985515
Diversispora varaderana,KT444708
Diversispora versiformis,FN547681
Dominikia achra,KJ564157
Dominikia aurea,KM056657
Dominikia bernensis,HG938303
Dominikia bonfanteae,MW232905
Dominikia compressa,HG798895
Dominikia difficilevidera,KR105644
Dominikia distichi,KJ564146
Dominikia duoreactiva,KR105638
Dominikia gansuensis,MZ448287
Dominikia glomerocarpica,MW507148
Dominikia indica,KJ564166
Dominikia iranica,KJ564151
Dominikia lithuanica,KX758115
Dominikia minuta,KJ564165
Entrophospora argentinensis,MT722022
Entrophospora candida,GU980757
Entrophospora claroidea,FR750062
Entrophospora drummondii,KP191483
Entrophospora etunicata,MT832171
Entrophospora furrazolae,ON950388
Entrophospora glacialis,ON950375
Entrophospora hanlinii,KP191478
Entrophospora infrequens,MT832169
Entrophospora lamellosa,MT832168
Entrophospora lutea,ON950370
Entrophospora walkeri,KP191489
Epigeocarpum crypticum,MW507153
Epigeocarpum japonicum,OQ437311
Funneliformis caledonius,FN547496
Funneliformis coronatus,FM876794
Funneliformis fragilistratus,AF145747
Funneliformis geosporus,JQ048887
Funneliformis mosseae,AY639162
Funneliformis pilosus,MT376718
Funneliglomus sanmartinense,MK348930
Geosiphon pyriformis,AM183920
Gigaspora albida,MT832234
Gigaspora candida,JF816953
Gigaspora decipiens,FJ461862
Gigaspora gigantea,MT832237
Gigaspora margarita,AF396782
Gigaspora rosea,FN547573
Glomus atlanticum,MW232911
Glomus bareae,MH560605
Glomus chinense,MZ448297
Glomus ibericum,MT376716
Glomus macrocarpum,FR750526
Glomus microcarpum,LC379037
Glomus tetrastratosum,KM056651
Halonatospora pansihalos,MH560602
Innospora majewskii,KY630229
Intraornatospora intraornata,JN971073
Kamienskia bistrata,KJ564133
Microdominikia litorea,MG710519
Microkamienskia divaricata,KX758121
Microkamienskia perpusilla,KJ564140
Microkamienskia peruviana,MK903006
Mortierella verticillata*,DQ273794
Nanoglomus plukenetiae,MK875635
Oehlia diaphana,MT832183
Orbilia auricolor*,DQ47095
Orientoglomus emiratium,KY555052
Oryza sativa*,M11585
Otospora bareae,FR865445
Pacispora scintillans,FM876831
Paradentiscutata bahiana,JN971071
Paradentiscutata maritima,JN971076
Paraglomus bolivianum,JX122773
Paraglomus brasilianum,FR750049
Paraglomus laccatum,KY630227
Paraglomus occidentale,MN081578
Paraglomus occultum,MT832155
Paraglomus pernambucanum,JX122771
Pervetustus simplex,KY630236
Phycomyces blakesleeanus*,DQ273800
Polonospora polonica,MZ359654
Polychytrium aggregatum*,AY546686
Racocetra alborosea,JN689226
Racocetra castanea,Y12076
Racocetra coralloidea,FJ461866
Racocetra crispa,KX529097
Racocetra fulgida,FR750143
Racocetra gregaria,AJ510232
Racocetra persica,FJ461880
Racocetra tropicana,GU385898
Racocetra verrucosa,AY900507
Racocetra weresubiae,FR750134
Redeckera megalocarpa,MT832215
Rhizophagus aggregatus,FJ461812
Rhizophagus arabicus,KF154764
Rhizophagus clarus,MT832191
Rhizophagus dalpeae,MN130951
Rhizophagus dunensis,KY555054
Rhizophagus fasciculatus,FR750072
Rhizophagus intraradices,MT832187
Rhizophagus invermaius,LN624111
Rhizophagus irregularis,MT832194
Rhizophagus maiae,MN130955
Rhizophagus manihotis,MT832190
Rhizophagus melanus,HG964396
Rhizophagus natalensis,KJ210823
Rhizophagus prolifer,FM992391
Rhizophagus silesianus,MN130958
Rhizophagus variabilis,MN384870
Rhizophagus vesiculifer,MG836659
Rhizophlyctis rosea*,DQ273787
Rhizopus oryzae*,AY213626
Sacculospora baltica,FR865449
Sacculospora felinovii,KX345939
Schizosaccharomycees pombe*,Z19136
Sclerocarpum amazonicum,MK036781
Sclerocystis pubescens,LC431110
Sclerocystis sinuosa,MT832185
Scutellospora alterata,HF935024
Scutellospora calospora,MT832220
Scutellospora dipurpurescens,MT832221
Scutellospora ovalis,KY362434
Scutellospora pernambucana,HQ871519
Scutellospora spinosissima,FR750149
Septoglomus africanum,KF060304
Septoglomus altomontanum,HF674439
Septoglomus constrictum,MT832175
Septoglomus deserticola,MT832177
Septoglomus furcatum,KF060311
Septoglomus fuscum,KF060314
Septoglomus jasnowskae,KF060320
Septoglomus mediterraneum,MT376720
Septoglomus mexicanum,MK570912
Septoglomus nakheelorum,KF154760
Septoglomus nigrum,MK234700
Septoglomus titan,JQ312667
Septoglomus turnauae,KF060324
Septoglomus viscosum,FJ461853
Septoglomus xanthium,AJ849467
Sieverdingia tortuosa,MT832213
Silvaspora neocaledonica,KY362436
Stereum hirsutum*,AF393078
Tricispora nevadensis,FR865446
