Species name,Genbank Accession number
Acaulospora_alpina,FR681930
Acaulospora_aspera,MN081004
Acaulospora_baetica,LN810997
Acaulospora_brasiliensis,FN825908
Acaulospora_cavernata,FM876790
Acaulospora_colliculosa,GU326352
Acaulospora_colombiana,MT832197
Acaulospora_delicata,MT832209
Acaulospora_dilatata,OK356196
Acaulospora_elegans,MT832202
Acaulospora_entreriana,FR750170
Acaulospora_excavata,OK356203
Acaulospora_fanjing,MW723430
Acaulospora_flava,MZ191518
Acaulospora_flavopapillosa,OK360962
Acaulospora_foveata,MT832201
Acaulospora_fragilissima,KY362431
Acaulospora_herrerae,JX135569
Acaulospora_ignota,KP191468
Acaulospora_kentinensis,MT832204
Acaulospora_koreana,KY565427
Acaulospora_koskei,MT832199
Acaulospora_lacunosa,MT832200
Acaulospora_laevis,FN547517
Acaulospora_longula,AM040292
Acaulospora_mellea,JF439089
Acaulospora_minuta,FR869691
Acaulospora_morrowiae,MT832211
Acaulospora_nivalis,HE603642
Acaulospora_papillosa,LN884302
Acaulospora_paulinae,AY639265
Acaulospora_punctata,FR846381
Acaulospora_pustulata,HF567941
Acaulospora_rugosa,LN881565
Acaulospora_saccata,KY362428
Acaulospora_scrobiculata,MT832208
Acaulospora_sieverdingii,FM876793
Acaulospora_spinosa,FR750155
Acaulospora_spinosissima,HG422733
Acaulospora_spinulifera,KY413814
Acaulospora_tortuosa,HF567933
Acaulospora_tuberculata,MT832207
Acaulospora_viridis,HG421736
Amanita_brunnescens,AY631902
Ambispora_appendicula,FN547529
Ambispora_fennica,FN547539
Ambispora_gerdemannii,JF439210
Ambispora_leptoticha,FN547531
Arabidopsis_thaliana,X52322
Archaeospora_ecuadoriana,LR596344
Archaeospora_schenckii,FR750020
Archaeospora_spainiae,HG977200
Archaeospora_trappei,MT832160
Ascobolus_crenulatus,AY544678
Boletellus_projectellus,AY684158
Bulbospora_minima,KJ944323.1
Cetraspora_armeniaca,MG459217
Cetraspora_gilmorei,FN547610
Cetraspora_helvetica,HM565944
Cetraspora_nodosa,FM876833
Cetraspora_pellucida,MT832222
Complexispora_mediterranea,OQ437305
Complexispora_multistratosa,OQ437298
Corymbiglomus_corymbiforme,KF060294
Corymbiglomus_globiferum,MT832214
Corymbiglomus_pacificum,HG532010
Dentiscutata_aurea,MT967279
Dentiscutata_cerradensis,MT967276
Dentiscutata_colliculosa,MT967277
Dentiscutata_erythropus_,MT832226
Dentiscutata_heterogama,FR750167
Dentiscutata_nigra,MT832225
Dentiscutata_savannicola,HE962444
Desertispora_omanana,KF154769
Diversispora_arenaria,FN547665
Diversispora_aurantia,EF581860
Diversispora_celata,AY639235
Diversispora_clara,FR873629
Diversispora_eburnea,EF067888
Diversispora_epigaea,MT832217
Diversispora_gibbosa,KJ850204
Diversispora_insculpta,MT832216
Diversispora_jakucsiae,KJ850181
Diversispora_peloponnesiaca,MN306205
Diversispora_peridiata,KT444715
Diversispora_sabulosa,MG459211
Diversispora_slowinskiensis,KT444717
Diversispora_sporocarpia,MK036785
Diversispora_spurca,MT832218
Diversispora_trimurales,MT832219
Diversispora_valentina,MT985515
Diversispora_varaderana,KT444708
Diversispora_versiformis,FN547681
Dominikia_achra,KJ564157
Dominikia_aurea,KM056657
Dominikia_bernensis,HG938303
Dominikia_bonfanteae,MW232905
Dominikia_compressa,HG798895
Dominikia_difficilevidera,KR105644
Dominikia_distichi,KJ564146
Dominikia_duoreactiva,KR105638
Dominikia_gansuensis,MZ448287
Dominikia_glomerocarpica,MW507148
Dominikia_indica,KJ564166
Dominikia_iranica,KJ564151
Dominikia_lithuanica,KX758115
Dominikia_minuta,KJ564165
Entrophospora_argentinensis,MT722022
Entrophospora_candida,GU980757
Entrophospora_claroidea,FR750062
Entrophospora_drummondii,KP191483
Entrophospora_etunicata,MT832171
Entrophospora_furrazolae,ON950388
Entrophospora_glacialis,ON950375
Entrophospora_hanlinii,KP191478
Entrophospora_infrequens,MT832169
Entrophospora_lamellosa,MT832168
Entrophospora_lutea,ON950370
Entrophospora_walkeri,KP191489
Epigeocarpum_crypticum,MW507153
Epigeocarpum_japonicum,OQ437311
Funneliformis_caledonius,FN547496
Funneliformis_coronatus,FM876794
Funneliformis_fragilistratus,AF145747
Funneliformis_geosporus,JQ048887
Funneliformis_mosseae,AY639162
Funneliformis_pilosus,MT376718
Funneliglomus_sanmartinense,MK348930
Geosiphon_pyriformis,AM183920
Gigaspora_albida,MT832234
Gigaspora_candida,JF816953
Gigaspora_decipiens,FJ461862
Gigaspora_gigantea,MT832237
Gigaspora_margarita,AF396782
Gigaspora_rosea,FN547573
Glomus_atlanticum,MW232911
Glomus_bareae,MH560605
Glomus_chinense,MZ448297
Glomus_ibericum,MT376716
Glomus_macrocarpum,FR750526
Glomus_microcarpum,LC379037
Glomus_tetrastratosum,KM056651
Halonatospora_pansihalos,MH560602
Innospora_majewskii,KY630229
Intraornatospora_intraornata,JN971073
Kamienskia_bistrata,KJ564133
Microdominikia_litorea,MG710519
Microkamienskia_divaricata,KX758121
Microkamienskia_perpusilla,KJ564140
Microkamienskia_peruviana,MK903006
Mortierella_verticillata,DQ273794
Nanoglomus_plukenetiae,MK875635
Oehlia_diaphana,MT832183
Orbilia_auricolor,DQ47095
Orientoglomus_emiratium,KY555052
Oryza_sativa,M11585
Otospora_bareae,FR865445
Pacispora_scintillans,FM876831
Paradentiscutata_bahiana,JN971071
Paradentiscutata_maritima,JN971076
Paraglomus_bolivianum,JX122773
Paraglomus_brasilianum,FR750049
Paraglomus_laccatum,KY630227
Paraglomus_occidentale,MN081578
Paraglomus_occultum,MT832155
Paraglomus_pernambucanum,JX122771
Pervetustus_simplex,KY630236
Phycomyces_blakesleeanus,DQ273800
Polonospora_polonica,MZ359654
Polychytrium_aggregatum,AY546686
Racocetra alborosea,JN689226
Racocetra_castanea,Y12076
Racocetra_coralloidea,FJ461866
Racocetra_crispa,KX529097
Racocetra_fulgida,FR750143
Racocetra_gregaria,AJ510232
Racocetra_persica,FJ461880
Racocetra_tropicana,GU385898
Racocetra_verrucosa,AY900507
Racocetra_weresubiae,FR750134
Redeckera_megalocarpa,MT832215
Rhizophagus_aggregatus,FJ461812
Rhizophagus_arabicus,KF154764
Rhizophagus_clarus,MT832191
Rhizophagus_dalpeae,MN130951
Rhizophagus_dunensis,KY555054
Rhizophagus_fasciculatus,FR750072
Rhizophagus_intraradices,MT832187
Rhizophagus_invermaius,LN624111
Rhizophagus_irregularis,MT832194
Rhizophagus_maiae,MN130955
Rhizophagus_manihotis,MT832190
Rhizophagus_melanus,HG964396
Rhizophagus_natalensis,KJ210823
Rhizophagus_prolifer,FM992391
Rhizophagus_silesianus,MN130958
Rhizophagus_variabilis,MN384870
Rhizophagus_vesiculifer,MG836659
Rhizophlyctis_rosea,DQ273787
Rhizopus_oryzae,AY213626
Sacculospora_baltica,FR865449
Sacculospora_felinovii,KX345939
Schizosaccharomycees_pombe,Z19136
Sclerocarpum_amazonicum,MK036781
Sclerocystis_pubescens,LC431110
Sclerocystis_sinuosa,MT832185
Scutellospora_alterata,HF935024
Scutellospora_calospora,MT832220
Scutellospora_dipurpurescens,MT832221
Scutellospora_ovalis,KY362434
Scutellospora_pernambucana,HQ871519
Scutellospora_spinosissima,FR750149
Septoglomus_africanum,KF060304
Septoglomus_altomontanum,HF674439
Septoglomus_constrictum,MT832175
Septoglomus_deserticola,MT832177
Septoglomus_furcatum,KF060311
Septoglomus_fuscum,KF060314
Septoglomus_jasnowskae,KF060320
Septoglomus_mediterraneum,MT376720
Septoglomus_mexicanum,MK570912
Septoglomus_nakheelorum,KF154760
Septoglomus_nigrum,MK234700
Septoglomus_titan,JQ312667
Septoglomus_turnauae,KF060324
Septoglomus_viscosum,FJ461853
Septoglomus_xanthium,AJ849467
Sieverdingia_tortuosa,MT832213
Silvaspora_neocaledonica,KY362436
Stereum_hirsutum,AF393078
Tricispora_nevadensis,FR865446
